,date,user,id,retweet_count,like_count,tweet_location,tweet_content,Airline
0,2020-07-31 22:36:45+00:00,AmarjotSinghD,1289329179872305152,0,1,,@airindiain I understand that airlines industry is going through a big loss but this is day light robbery. It has been 6 months and still haven't got my money. @HardeepSPuri @DGCAIndia @MoCA_GoI @PMOIndia #AirIndia  #dgca #airindiafraud,airindia
1,2020-07-31 22:36:45+00:00,AmarjotSinghD,1289329178962046978,1,1,,@airindiain Ideally the refund should start with in 1-2 week of cancellation. @HardeepSPuri @DGCAIndia @MoCA_GoI @PMOIndia #AirIndia  #dgca #airindiafraud,airindia
2,2020-07-31 22:36:45+00:00,AmarjotSinghD,1289329177724739584,0,0,,"@airindiain In some of the emails you have say, due to lock down, not able to process my returns. In India lock down happened on 25th of March which is more then a month since I have cancelled my tickets.@HardeepSPuri @DGCAIndia @MoCA_GoI @PMOIndia #AirIndia  #dgca #airindiafraud",airindia
3,2020-07-31 22:36:44+00:00,AmarjotSinghD,1289329176751661056,0,0,,@airindiain Have written numerous emails and you are such a hopeless people that you don't even reply to all the emails. If I call customer care the wait time is 2-3 hours. @HardeepSPuri @DGCAIndia @MoCA_GoI @PMOIndia #AirIndia  #dgca #airindiafraud,airindia
4,2020-07-31 22:36:44+00:00,AmarjotSinghD,1289329174633754625,0,0,,"@airindiain Booked round trip for my parents from New Delhi to San Francisco on 24th of Feb 2020, booking reference number is YDJMF.  @HardeepSPuri @DGCAIndia @MoCA_GoI @PMOIndia #AirIndia  #dgca #airindiafraud",airindia
5,2020-07-31 22:36:44+00:00,AmarjotSinghD,1289329173266223104,0,1,,"@airindiain You are the most shameless airlines company I  I have written you number of emails and have made numerous calls.  With little or no help, I have come on every social media platform.@HardeepSPuri @DGCAIndia @MoCA_GoI @PMOIndia #AirIndia  #dgca #airindiafraud",airindia
6,2020-07-31 22:30:04+00:00,RohitMGaikwad,1289327495485906945,0,0,"Mumbai, India",@suvisunil @khabri_lal @27saurabhsinha @MrrMukherjee @AAI_Official @HardeepSPuri The Govt should not be biased towards a particular airline. This time it looks like it is #spicejet,spicejet
7,2020-07-31 21:05:00+00:00,Ssharma0823,1289306087255023616,0,0,"मुंबई, भारत","#AirIndia 
May I please have a response on below request. This has been pending since 5 months now... https://t.co/yqGTrasrdr",airindia
8,2020-07-31 19:55:38+00:00,FlightModeblog,1289288632809828352,0,0,,"#AirIndia will operate 12 flights between #India and #Canada from August 18th to 30th, 2020. Bookings will open today July 31st, 2020. #FlyAI #Delhi #Toronto #Vancouver #aviation #avgeek #avgeeks #flights #travel #Traveler https://t.co/OHqQmThMyF",airindia
9,2020-07-31 19:32:05+00:00,kara_harshal,1289282705272844288,0,0,,"@airindiain has given me the worst experience with any airlines today. Canceled the flight twice now. 

PS: Never fly @airindiain. Fly @IndiGo6E 

#AirIndia #airindiaexpress #worst",airindia
10,2020-07-31 18:50:23+00:00,jetairways2news,1289272210444529664,2,9,"Mumbai, India",They are owned by us #JetAirways. #9W https://t.co/2jd0DwVdlH,jetairways
11,2020-07-31 18:47:51+00:00,rajnish1Midas,1289271572742602754,4,12,Bangalore,"#JetAirways Come back soon.

#JetRevival https://t.co/LPe6UvHdJZ",jetairways
12,2020-07-31 18:45:56+00:00,meetgoogle,1289271093534978048,5,3,Beautiful Planet ,"@ndtv Make #AirIndia ride #free for #AblaNari #Women before it’s gone out of reach of white collar goons! 

Stop #communism style fake 
 #womenempowerment &amp; freebies 

Protect #Constitutional #rights of #Equality of every taxpayers #citizen irrespective of #gender 

@narendramodi",airindia
13,2020-07-31 18:44:53+00:00,meetgoogle,1289270827012300800,13,3,Beautiful Planet ,"@SwatiJaiHind @ArvindKejriwal Make #AirIndia ride #free for #AblaNari #Women before it’s gone out of reach of white collar goons! 

Stop #communism style fake 
 #womenempowerment &amp; freebies 

Protect #Constitutional #rights of #Equality of every taxpayers #citizen irrespective of #gender 

@narendramodi",airindia
14,2020-07-31 18:16:40+00:00,tarunpmishra,1289263725594075136,2,7,"Belapur, Navi Mumbai","@kaveennaaaa Got so many positive news in last few days regarding @jetairways. Let’s hope for the best!!
 #JetRevival 
#9W
#jetairways",jetairways
